CONSECUTIVO,ID_ENCUESTA,CE_ACCESSIBILITY,CE_CSAT,CE_VALUEFORMONEY,EM_IMMEDIATEATTENTION,EM_NURSING,EM_DOCTOR,EM_OVERALL,AD_TIME,AD_TARRIFFPACKAGESEXPLAINATION,AD_STAFFATTITUDE,INR_ROOMCLEANLINESS,INR_ROOMPEACE,INR_ROOMEQUIPMENT,INR_ROOMAMBIENCE,FNB_FOODQUALITY,FNB_FOODDELIVERYTIME,FNB_DIETICIAN,FNB_STAFFATTITUDE,AE_ATTENDEECARE,AE_PATIENTSTATUSINFO,AE_ATTENDEEFOOD,DOC_TREATMENTEXPLAINATION,DOC_ATTITUDE,DOC_VISITS,DOC_TREATMENTEFFECTIVENESS,NS_CALLBELLRESPONSE,NS_NURSESATTITUDE,NS_NURSEPROACTIVENESS,NS_NURSEPATIENCE,OVS_OVERALLSTAFFATTITUDE,OVS_OVERALLSTAFFPROMPTNESS,OVS_SECURITYATTITUDE,DP_DISCHARGETIME,DP_DISCHARGEQUERIES,DP_DISCHARGEPROCESS,DIASINTERNADO,SCORENPS,NPS
22,6796,4,3,2,3,4,4,4,2,3,3,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,3,3,3,4,3,4,2,3,4,3,7,5,Detractor
33,25283,3,2,2,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,3,4,3,3,3,1,5,Detractor
51,43260,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,55,6,Detractor
67,30413,2,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,1,2,Detractor
74,33858,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,Detractor
77,17821,3,2,3,4,3,3,3,4,2,2,2,1,2,2,2,2,2,1,2,2,1,2,3,2,2,2,3,2,1,2,1,3,1,1,2,2,5,Detractor
108,77281,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,6,Detractor
119,4729,4,3,1,4,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,0,Detractor
141,42486,4,3,2,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,Detractor
151,7218,3,3,3,2,2,3,3,2,1,2,1,1,2,1,1,1,1,1,1,2,1,3,3,2,3,2,3,2,2,3,3,2,3,3,3,8,5,Detractor
176,64735,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
186,72138,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,2,6,Detractor
191,82387,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,6,Detractor
